UserID,Predicted_Conversion_Rate,Predicted_Customer_Lifetime_Value,Degree_Centrality,PageRank,Followers,Following,Language,Location_Country,Content_Type,Relationship_Type,Klout_Score,Kred_Score,Group_Memberships,Page_Likes,Explicit_Interests_Encoded
31919,0.5021527,608.2843,-0.722589425749119,-0.5731856889510692,-0.43437928694478395,-0.6237779257422211,hi,India,video,follows,1.4357651275275638,1.7190350362591615,-0.9518332487938486,0.49755047771098304,
36299,0.502086,544.9565,-0.11498336999156,0.4784722358504136,-0.44692560243007456,-0.9900071577482122,hi,USA,link,follows,1.539896426533433,1.4943461881138105,-1.5843562407755132,1.4866050130734332,1.0
23934,0.50203294,573.30225,-1.026392453627898,-1.1019040659727863,-0.4388214263514638,0.3053373927552931,hi,India,text,follows,0.7762669004903926,-1.4669376053915877,-0.31931025681218395,1.4866050130734332,1.0
49759,0.5020197,499.442,0.7964257136447781,0.9156575719063461,-0.4423056157678042,0.2711874000602007,hi,USA,link,friend,1.6787381585412584,1.575003723345475,-0.6355717528030163,0.6623929002713914,1.0
5714,0.50197595,544.23596,-0.722589425749119,-0.3630718376733032,-0.4396500328831921,1.351033720798123,hi,India,video,mentions,1.088660797508,1.6210937434778547,-0.31931025681218395,1.6514474356338416,1.0
714,0.5019425,547.17926,-0.722589425749119,-1.5210551163750672,-0.44540581679139246,-0.5119072600169184,hi,USA,video,friend,-1.236938213623077,1.5116299456634528,-0.0030487608213516527,1.4866050130734332,1.0
2540,0.5018604,544.47925,-1.026392453627898,-1.4636547514352065,-0.4372450529496393,1.6242336623588622,hi,UK,link,mentions,-1.3757799456309028,1.2293285723526268,-0.31931025681218395,-1.1508737478931006,
8410,0.50180775,484.81894,0.492622685765999,0.3353017195566467,-0.44321910394424613,-0.5295710493419662,hi,UK,link,friend,1.644027725539302,1.7190350362591615,-0.31931025681218395,-0.6563464802118756,
19446,0.501763,552.08673,0.18881965788721908,0.4339337998702266,-0.4432312298934909,-0.4542055482217623,hi,USA,video,mentions,0.7762669004903926,1.1774772997036997,-0.0030487608213516527,1.3217625905130248,
29132,0.50175726,570.66455,-0.4187863978703391,-0.7669136337166429,-0.43639623650250303,0.23468223545510192,hi,USA,video,follows,1.7134485915432147,-1.6743426959872965,-0.0030487608213516527,1.4866050130734332,10.0
49429,0.5017279,547.1615,0.7964257136447781,0.3808343951540764,-0.4401674067176371,0.13694260118983742,hi,USA,link,follows,-0.9939651826093826,0.27872190712229483,0.9457357271511453,0.8272353228317998,1.0
2553,0.50171256,652.9059,-1.026392453627898,-1.6533500564226806,-0.44389411511887356,-0.2563711077812269,hi,UK,link,mentions,1.6787381585412584,1.5289137032130953,-0.31931025681218395,0.8272353228317998,1.0
23204,0.50165397,572.15125,-1.026392453627898,-1.3743496045951458,-0.4434494969798974,-0.8781364920229094,hi,UK,video,friend,-1.3410695126289462,0.5552620279165733,-1.2680947447846809,0.9920777453922082,
24538,0.501649,553.53876,-0.4187863978703391,-1.2410464510891732,-0.4413436237943831,-0.44007451676172404,hi,USA,link,mentions,-0.05678349155656043,1.119864774538225,0.31321273516948067,0.8272353228317998,
27947,0.501629,525.9074,-0.4187863978703391,0.07153904706562816,-0.4372531369158025,-0.8510520150578361,hi,India,link,mentions,0.9498190655001745,-1.150068716981477,-0.9518332487938486,1.6514474356338416,1.0
2233,0.50161743,551.5523,-0.4187863978703391,-1.2941320999810622,-0.4472853389243371,-0.9841192279731963,hi,India,link,friend,-0.5427295535839497,0.9239821889756111,0.9457357271511453,1.4866050130734332,1.0
45415,0.50159055,571.5057,0.492622685765999,1.0645305756437946,-0.4388375942837902,-0.07973321453074891,pt,China,text,friend,-1.68817384264851,0.5955907955324056,-0.31931025681218395,0.8272353228317998,1.0
3705,0.5015814,548.506,-0.4187863978703391,-0.7586091036550793,-0.44599190433822467,-0.5401693229369949,hi,India,video,friend,0.15147910645517781,1.183238552220247,-1.2680947447846809,1.6514474356338416,1.0
2324,0.5015728,581.00226,0.18881965788721908,0.87802557883119,-0.43176816587406947,3.4106315560986964,pt,China,link,mentions,0.7415564674884362,1.7017512787095193,-0.9518332487938486,1.4866050130734332,
33774,0.50154734,571.41504,0.18881965788721908,0.9706391774631409,-0.4327382418136538,0.587958021956058,zh,China,text,friend,-0.7857025845976443,1.2754185924850066,0.31321273516948067,0.6623929002713914,
18932,0.50153834,514.3867,-2.849210620900575,-1.7594298449681707,-0.438768880571403,-0.6190675819222085,zh,China,link,friend,1.1580816635119127,-1.4150863327426606,-1.5843562407755132,1.4866050130734332,1.0
