UserID,Predicted_CTR,Predicted_Conversion_Rate,Predicted_Customer_Lifetime_Value,Actual_CTR,Actual_Conversion_Rate,Actual_CLV,CTR_Error,Conversion_Error,CLV_Error
0,0.999688,0.50026965,618.2123,0.9751056642008198,0.4299803085374592,589.9600933667149,-0.024582365088425817,-0.07028934287550465,-28.252186906722613
1,0.9994779,0.49978298,535.4234,1.0881327549043494,0.46484863431209744,508.9588072271609,0.088654831987937,-0.03493434517627536,-26.46459365174536
4,0.3382712,0.42613578,433.45053,0.33453778712091725,0.48555908798121217,415.38345225182826,-0.0037334135359736176,0.059423309554088144,-18.067078754031115
8,0.5010557,0.37286827,415.29926,0.5288845718455976,0.36935130191070104,377.4914645269753,0.027828854377335843,-0.0035169677712295067,-37.80779084411847
11,0.3054535,0.41881523,437.21967,0.2977047391684651,0.453143343573534,398.25646132752166,-0.007748769923865806,0.034328118210756264,-38.96320419982209
14,0.78478235,0.5003194,553.1816,0.8207828240643334,0.5169788992183854,455.56781736891213,0.036000474001009475,0.01665947792703404,-97.61376222093162
18,0.40507743,0.4292793,413.76135,0.39948357690225206,0.42886106681404684,359.8979526535615,-0.00559385072340407,-0.00041823077620889437,-53.863399885500996
19,0.40729323,0.42856812,465.78827,0.3678108317722457,0.3864846619232002,409.6638965865677,-0.03948239852293556,-0.042083462847917974,-56.124372456401034
20,0.30249915,0.3279614,326.98267,0.287611725666166,0.3044020969412839,309.78674066813323,-0.014887419603227925,-0.023559288308807658,-17.195925347491766
21,0.14480065,0.38058516,368.7847,0.15801085122614777,0.36483328152861155,328.26829676104103,0.013210203132924203,-0.015751882303099263,-40.516401725287096
23,0.41501498,0.47600353,518.49146,0.399116276398045,0.4782761713914055,498.6694032635743,-0.015898705825465764,0.0022726437501091046,-19.82205181455072
24,1.0006495,0.5000304,578.68756,0.9701243294125276,0.5309196146018255,538.786414884472,-0.03052512279694508,0.030889216232990013,-39.90114615068421
25,0.24140173,0.28077045,224.7796,0.22944684214187755,0.24385302306938356,206.4372600828194,-0.011954889826048476,-0.03691742776107604,-18.342341967961858
28,0.9999548,0.49987993,622.76605,1.0534352025126004,0.5296724502303101,526.5444671860071,0.05348038283334011,0.02979252378721009,-96.22158506008668
29,0.44944045,0.4673223,490.73193,0.4117057449496975,0.4156430817893082,475.3498986755412,-0.03773470452654454,-0.05167920815438687,-15.382034918208774
30,0.14282617,0.32995772,330.22144,0.145703133972403,0.3660601718197775,285.83070664800283,0.002876964243170216,0.0361024482022238,-44.39072889887217
31,0.16723564,0.17652772,169.89175,0.1532770651981673,0.16120035628367368,155.98037249945241,-0.013958577473417777,-0.015327367386332114,-13.91138165093821
33,0.41527578,0.4242808,406.13486,0.44307009021032634,0.45140679973735487,339.75584074481293,0.027794307863600876,0.027126007262608165,-66.37901643292145
34,0.2929719,0.4981836,575.9137,0.3070882943852029,0.5306558791164921,552.9126059315738,0.014116385339029813,0.0324722710613774,-23.001090357488692
35,0.3762148,0.5004087,550.73267,0.3851683331813661,0.553282883001226,535.9528230467084,0.008953530916198882,0.05287417395200111,-14.779842968916569
36,0.10712062,0.3800978,385.86926,0.10856848134715365,0.3714022478016962,377.1478815617423,0.0014478631230096656,-0.008695558652008661,-8.721381133570219
